molecule_chembl_id,canonical_smiles,standard_value
MB172,O=C(/C(OC1=CC=C(/C=N\NC2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1)=C\C4=C(F)C=C(F)C=C4)C5=CC=C(Cl)C=C5,138.81
MB173,O=C(/C(OC1=CC=C(/C=N\NC2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1)=C\C4=C(Cl)C=C(Cl)C=C4)C5=CC=C(Cl)C=C5,295.42
MB174,O=C(/C(OC1=CC=C(/C=N\NC2=C(C=CC(Cl)=C3)C3=NC=C2)C=C1)=C\C4=CC([N+]([O-])=O)=CC=C4)C5=CC=C(Cl)C=C5,128.12
MB176,O=C1C(C)=CC(/C=C/C(C2=CC=C(C)C=C2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,20.14
MB177,O=C1C(C)=CC(/C=C/C(C2=CC=C(O)C=C2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,7.46
MB178,O=C1C(C)=CC(/C=C/C(C2=CC=C(OC)C=C2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,33.34
MB179,O=C1C(C)=CC(/C=C/C(C2=CC=C(F)C=C2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,22.23
MB180,O=C1C(C)=CC(/C=C/C(C2=CC=C(Cl)C=C2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,44.03
MB181,O=C1C(C)=CC(/C=C/C(C2=CC=C(Br)C=C2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,34.34
MB182,O=C1C(C)=CC(/C=C/C(C2=CC(OC)=C(OC)C(OC)=C2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,19.06
MB183,O=C1C(C)=CC(/C=C/C(C2=CC=CS2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,20.48
MB184,O=C1C(C(C)CC)=CC(/C=C/C(C2=CC=C(C)C=C2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,25.9
MB185,O=C1C(C(C)CC)=CC(/C=C/C(C2=CC=C(O)C=C2)=O)=C/C1=C\NCCNC3=CC=NC4=CC(Cl)=CC=C34,41.71
